,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Formatted address,User Ratings Total
32,Top of the Range Tea Rooms,ChIJNcAe6XEd12oRJKGT9KqtkIc,-37.386378,144.5759645,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","415 Cameron Dr, Mount Macedon",,328
33,Red Door Cafe Macedon,ChIJf5SZgK7j1moR6DLpRUePtP8,-37.4323128,144.5594234,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","313 Black Forest Dr, Macedon",,112
34,Woodberry Cafe Woodend,ChIJBUAETTsd12oRBoidGESkC60,-37.3565533,144.527221,4.2,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","3B/81 High St, Woodend",,69
35,The Milko,ChIJmUI-Ftod12oRvhrIN-yI2v4,-37.35637639999999,144.528219,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","118-126 High St, Woodend",,151
36,"Fox in the Chamber Cafe, Woodend",ChIJP00UGNod12oRa1GLcY5KI78,-37.3574937,144.5276383,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","90 High St, Woodend",,107
37,The Hideout Cafe,ChIJFQey3tsd12oRuMkGnDJwha0,-37.3582,144.5276336,4.5,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","Shop 4/Rear/80 High St, Woodend",,34
38,"Paysanne Cafe, Woodend",ChIJvQ5XPNod12oRplQWqAPxLXk,-37.356591,144.528153,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","112 High St, Woodend",,157
39,Hanging Rock Cafe,ChIJEWKIcoEd12oRuAd5T5LmOwU,-37.3355816,144.5972258,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","139 S Rock Rd, Woodend",,110
40,Andrews Cafe,ChIJncMwZcYd12oRwhUDM978vzE,-37.3571899,144.526993,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","77 High St, Woodend",,2
41,MaisonMaloa Licenced Cafe and Gifts,ChIJaTs1F9od12oRsWN8LTa3Jlw,-37.3560003,144.5277743,3.9,"['grocery_or_supermarket', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","95 High St, Woodend",,106
42,Cosy Corner Cafe Woodend,ChIJn3vvo4Md12oRFS2q1IMqpfQ,-37.3582841,144.5275843,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']","80 High St, Woodend",,3
43,Aspy,ChIJxeDpIPAI12oRy6uwQV1jQaQ,-37.2766762,144.7338257,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","32 High St, Lancefield",,93
44,Mount Towrong Vineyard,ChIJG7McA6Hi1moRgxmBM4LhOp0,-37.4076496,144.5908097,4.8,"['tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']","4 Taylors Rd, Mount Macedon",,57
45,"Anushka Chai, Handcrafted Liquid & Sticky Brew",ChIJtckoTk8d12oRqUQ3F0PecT4,-37.3575417,144.5276883,5.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","90 High St, Woodend",,2
46,"Mount Macedon Trading Post, General Store, Cafe & Post Office",ChIJly9Nbpni1moRFT411nY0KdU,-37.4019835,144.5876535,4.4,"['food', 'point_of_interest', 'store', 'establishment']","686 Mount Macedon Rd, Mount Macedon",,348
47,Schatzi's,ChIJ0bA0O9od12oR0gwr2nYhMDw,-37.35666,144.527966,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","shop 1/104 High St, Woodend",,128
